S No,Slot,Course Code,Course Description,Course Credit,L,T,P,Course Co-Ordinator,Registered
724,C,SBV883,CHAPERONE AND PROTEIN CONFORMATIONAL DISORDERS,1,1,0,0,TAPAN KUMAR CHAUDHURI,6
725,K,SBV885,PROTEIN AGGREGATIAONS ANDDISEASES,1,1,0,0,BISHWAJIT KUNDU,6
726,K,SBV886,SIGNALING PATHWAY ANALYSIS,1,1,0,0,JAMES GOMES,8
727,K,SBC795,GRADUATE STUDENT RESEARCH SEMINAR,1,0,0,2,JAMES GOMES,8
728,L,SBL701,BIOMETRY,3,3,0,0,ADITYA MITTAL,13
729,K,SIV864,SPECIAL MODULE ON MEDIA PROCESSING & COMMUNICATION,1,1,0,0,HUZUR SARAN,4
730,P,SID890,MS RESEARCH PROJECT,40,0,0,80,HUZUR SARAN,4
731,P,SIV813,APPLICATIONS OF COMPUTERS IN MEDICINE,1,1,0,0,HUZUR SARAN,23
732,P,SID880,MINOR PROJECT IN INFORMATION TECHNOLOGY,3,0,0,6,HUZUR SARAN,80
733,P,BSD895,MAJOR PROJECT(MSR),40,0,0,80,BREJESH LALL,1
734,P,NCN101,NCC -1,0,0,0,0,====,42
735,P,NCN102,NCC -2,0,0,0,0,====,500
736,P,NSN100,NSS,0,0,0,0,====,224
737,P,NSN101,NSS -1,0,0,0,0,====,1
738,P,NPN100,NATIONAL SPORTS ORGANISATION,0,0,0,0,====,179
739,P,NSN102,NSS -2,0,0,0,0,====,500
740,P,NCN100,NCC,0,0,0,0,====,9
741,P,NPN102,NATIONAL SPORTS ORGANISATION -2,0,0,0,0,====,500
742,P,NPN101,NATIONAL SPORTS ORGANISATION -1,0,0,0,0,====,1
